iter	Passed	Remaining
0	102	307471
1	223	334454
2	347	347046
3	457	342315
4	573	343411
5	686	342507
6	802	343068
7	918	343648
8	1034	343903
9	1150	343853
10	1261	342917
11	1374	342285
12	1482	340708
13	1602	341741
14	1717	341857
15	1824	340354
16	1934	339414
17	2045	338909
18	2162	339229
19	2279	339696
20	2398	340193
21	2514	340318
22	2638	341450
23	2754	341525
24	2874	342046
25	2998	342950
26	3119	343529
27	3245	344535
28	3369	345233
29	3485	345077
30	3601	344909
31	3718	344881
32	3841	345347
33	3956	345109
34	4073	345074
35	4185	344583
36	4302	344586
37	4423	344834
38	4563	346490
39	4675	345977
40	4780	344999
41	4897	344905
42	5017	345035
43	5132	344842
44	5241	344179
45	5358	344084
46	5467	343529
47	5584	343452
48	5692	342811
49	5799	342156
50	5909	341702
51	6025	341575
52	6140	341446
53	6258	341458
54	6384	341881
55	6509	342198
56	6635	342579
57	6755	342689
58	6863	342124
59	6977	341910
60	7092	341742
61	7201	341237
62	7318	341170
63	7424	340584
64	7542	340571
65	7654	340267
66	7770	340167
67	7884	339951
68	8001	339881
69	8114	339664
70	8228	339462
71	8340	339194
72	8449	338780
73	8556	338330
74	8681	338583
75	8801	338626
76	8928	338926
77	9039	338641
78	9156	338574
79	9273	338496
80	9388	338338
81	9506	338285
82	9612	337813
83	9739	338096
84	9865	338325
85	9992	338581
86	10112	338583
87	10222	338265
88	10336	338071
89	10442	337636
90	10560	337584
91	10668	337218
92	10782	337026
93	10890	336669
94	10997	336276
95	11110	336096
96	11217	335717
97	11330	335522
98	11446	335413
99	11559	335231
100	11675	335129
