Year,Boat_No,출전회차,출주회수,1착,2착,3착,평균착순점,연대율,3주회,2주회(온라인),2주회(플라잉)
2020,1,43,4,0,2,0,5.5,50,-,1:32.638,-
2020,2,43,4,1,0,0,4.25,25,-,1:32.482,-
2020,3,43,2,0,1,1,7,50,-,1:33.254,-
2020,6,43,2,0,0,0,3,0,-,1:36.280,-
2020,7,44,2,0,1,0,4.5,50,-,1:34.291,-
2020,8,43,4,0,1,0,3,25,-,1:33.038,-
2020,9,44,4,2,0,1,7.5,50,-,1:31.784,-
2020,10,43,2,0,0,1,4,0,-,1:36.949,-
2020,11,43,4,2,2,0,9,100,-,1:30.495,-
2020,12,43,3,1,1,0,6.67,66.7,-,1:33.205,-
2020,13,44,3,1,2,0,8.67,100,-,1:33.176,1:15.683
2020,14,43,2,0,0,0,3,0,-,1:34.505,-
2020,15,43,2,0,0,1,4,0,-,1:34.656,-
2020,16,43,2,0,1,0,6,50,-,1:33.340,-
2020,17,43,2,1,0,1,8,50,-,1:33.795,-
2020,18,43,2,0,1,1,7,50,-,1:33.185,-
2020,19,43,2,1,0,0,6,50,-,1:31.617,-
2020,21,43,2,0,0,0,1.5,0,-,1:36.891,-
2020,22,42,1,0,0,0,2,0,-,1:34.559,-
2020,23,43,4,0,1,1,4,25,-,1:33.330,-
2020,24,44,2,0,0,0,2,0,-,1:37.637,-
2020,25,44,2,0,0,0,3,0,-,1:36.856,-
2020,26,43,4,0,1,1,4.75,25,-,1:34.440,-
2020,27,43,4,0,1,0,3.75,25,-,1:32.518,-
2020,28,44,5,1,0,3,6.4,20,-,1:34.449,1:14.620
2020,29,43,2,1,1,0,9,100,-,1:31.463,-
2020,30,42,2,1,0,0,7,50,-,1:31.193,-
2020,31,43,4,0,1,0,3,25,-,1:32.086,-
2020,32,43,4,2,0,0,6.5,50,-,1:31.104,-
2020,33,43,2,1,0,0,6,50,-,1:32.331,-
2020,34,44,3,0,0,0,1,0,-,1:38.262,1:20.332
2020,35,44,2,1,0,0,6,50,-,1:32.849,-
2020,36,44,2,0,0,0,1,0,-,1:38.251,-
2020,38,44,3,0,0,1,3.67,0,-,1:36.861,1:17.018
2020,39,44,2,0,0,0,2.5,0,-,1:36.316,-
2020,40,43,2,0,0,1,4,0,-,1:33.199,-
2020,41,44,5,2,0,1,6,40,-,1:30.874,1:19.416
2020,42,43,2,0,0,1,5,0,-,1:34.019,-
2020,43,42,2,0,2,0,8,100,-,1:32.859,-
2020,44,43,2,1,0,1,8,50,-,1:30.515,-
2020,45,43,4,0,2,1,6,50,-,1:32.628,-
2020,46,43,2,0,2,0,8,100,-,1:33.490,-
2020,47,42,2,2,0,0,10,100,-,1:30.954,-
2020,48,42,2,0,1,1,7,50,-,1:32.741,-
2020,49,43,2,1,0,0,7,50,-,1:31.948,-
2020,50,43,2,0,0,0,1.5,0,-,1:36.888,-
2020,51,44,4,0,1,0,3.75,25,-,1:32.441,-
2020,52,42,2,1,1,0,9,100,-,1:30.657,-
2020,53,43,2,0,1,1,7,50,-,1:34.083,-
2020,54,43,2,0,0,0,1.5,0,-,1:37.711,-
2020,55,42,2,1,0,1,8,50,-,1:30.013,-
2020,56,44,5,1,0,0,4.6,20,-,1:31.771,1:37.795
2020,57,44,3,1,0,1,6,33.3,-,1:31.133,1:18.003
2020,58,44,4,0,0,2,3.5,0,-,1:33.784,-
2020,59,44,5,1,3,0,7.6,80,-,1:32.106,1:13.762
