Year,Boat_No,출전회차,출주회수,1착,2착,3착,평균착순점,연대율,3주회,2주회(온라인),2주회(플라잉)
2024_1,1,34,30,6,8,5,6.13,46.7,-,01:32.3,01:14.9
2024_1,2,34,31,8,4,5,5.52,38.7,-,01:34.8,01:13.4
2024_1,3,34,17,8,2,1,6.88,58.8,-,01:32.7,01:13.6
2024_1,4,32,28,11,5,3,6.71,57.1,-,01:32.9,01:13.8
2024_1,5,33,25,4,7,5,6,44,-,01:31.7,01:14.0
2024_1,6,34,29,10,8,5,7.38,62.1,-,01:32.2,01:13.5
2024_1,7,34,31,9,5,5,6.35,45.2,-,01:32.9,01:13.8
2024_1,8,34,30,8,3,4,5.13,36.7,-,01:32.2,01:14.2
2024_1,9,32,29,8,7,4,6.31,51.7,-,01:32.9,01:14.1
2024_1,10,34,31,4,6,10,5.81,32.3,-,01:32.9,01:14.6
2024_1,11,34,32,8,7,4,5.72,46.9,-,01:33.1,01:15.4
2024_1,12,34,27,9,7,3,6.81,59.3,-,01:39.3,01:13.9
2024_1,13,34,34,6,7,6,5.32,38.2,-,01:33.9,01:14.5
2024_1,14,34,26,5,6,6,6.12,42.3,-,01:34.1,01:13.3
2024_1,15,34,31,6,5,9,5.74,35.5,-,01:33.5,01:13.9
2024_1,16,33,19,1,4,6,5.21,26.3,-,01:33.3,01:14.5
2024_1,17,34,29,8,2,4,5.52,34.5,-,01:33.2,01:14.8
2024_1,18,34,30,6,5,6,5.43,36.7,-,01:32.6,01:14.5
2024_1,19,34,29,3,5,4,4.45,27.6,-,01:31.2,01:14.3
2024_1,20,34,31,9,7,5,6.52,51.6,-,01:32.9,01:13.0
2024_1,21,34,31,6,5,4,5,35.5,-,01:32.2,01:13.3
2024_1,22,31,23,2,3,6,4.7,21.7,-,-,01:14.7
2024_1,23,34,27,6,9,4,6.33,55.6,-,01:33.5,01:14.6
2024_1,24,34,24,7,6,4,6.96,54.2,-,01:32.4,01:14.4
2024_1,25,34,33,7,7,8,5.94,42.4,-,01:34.0,01:14.8
2024_1,26,33,30,4,6,6,5.07,33.3,-,-,01:14.5
2024_1,27,34,28,3,5,7,5.21,28.6,-,01:34.5,01:14.8
2024_1,28,34,29,6,9,2,6.17,51.7,-,01:34.4,01:13.6
2024_1,29,31,22,8,3,7,6.95,50,-,01:32.1,01:13.7
2024_1,30,32,21,7,4,2,6.52,52.4,-,01:35.4,01:13.9
2024_1,31,33,18,2,0,1,2.67,11.1,-,01:37.3,01:15.1
2024_1,32,34,21,1,4,5,4.95,23.8,-,01:34.9,01:15.7
2024_1,33,29,14,2,3,0,4.86,35.7,-,01:37.4,01:14.5
2024_1,34,33,28,3,4,3,4.36,25,-,01:34.9,01:13.7
2024_1,35,33,26,1,1,3,3.46,7.7,-,01:36.3,01:15.7
2024_1,36,33,24,2,0,5,3.58,8.3,-,01:37.3,01:14.3
2024_1,37,34,30,4,6,7,5.4,33.3,-,01:33.7,01:13.5
2024_1,38,34,16,2,4,1,5.31,37.5,-,-,01:14.6
2024_1,39,34,31,3,4,8,4.97,22.6,-,01:31.1,01:14.1
2024_1,40,33,20,0,6,4,4.55,30,-,01:35.3,01:15.2
2024_1,41,34,32,4,5,4,4.66,28.1,-,01:35.9,01:14.8
2024_1,42,34,34,1,4,7,3.85,14.7,-,01:33.8,01:13.8
2024_1,43,34,10,3,4,1,7.5,70,-,01:34.3,01:15.2
2024_1,44,34,22,2,5,4,5,31.8,-,-,01:14.0
2024_1,45,34,28,5,0,8,4.54,17.9,-,01:37.1,01:14.3
2024_1,46,34,22,5,5,3,5.68,45.5,-,01:35.5,01:14.1
2024_1,47,34,28,5,4,4,5.32,32.1,-,01:35.8,01:14.0
2024_1,48,34,29,3,9,5,5.72,41.4,-,01:35.9,01:15.4
2024_1,49,34,27,2,2,8,4.41,14.8,-,01:33.9,01:15.5
2024_1,50,34,26,3,0,6,3.81,11.5,-,01:33.1,01:14.6
2024_1,51,34,23,1,4,3,4.39,21.7,-,01:33.7,01:14.9
2024_1,52,34,31,3,10,1,4.94,41.9,-,01:33.3,01:14.2
2024_1,53,33,27,2,7,6,5.22,33.3,-,01:34.1,01:14.0
2024_1,54,27,12,1,1,1,3.5,16.7,-,01:34.9,01:15.4
2024_1,55,34,30,5,4,0,4.2,30,-,01:36.9,01:13.8
2024_1,56,34,32,1,6,4,4.03,21.9,-,01:34.9,01:14.7
2024_1,57,34,16,4,1,1,4.69,31.3,-,01:36.3,01:13.7
2024_1,58,34,29,5,6,7,5.55,37.9,-,01:37.9,01:15.3
2024_1,59,33,25,4,3,4,4.96,28,-,01:32.5,01:15.3
2024_1,60,33,30,3,5,5,4.47,26.7,-,01:37.1,01:14.4
2024_1,61,33,27,5,2,4,4.7,25.9,-,01:32.3,01:14.6
2024_1,62,33,28,0,2,7,3.68,7.1,-,01:38.5,01:16.0
2024_1,63,34,30,1,8,5,4.9,30,-,01:33.4,01:15.8
2024_1,64,32,23,0,4,3,3.83,17.4,-,01:32.7,01:15.6
2024_1,65,32,24,3,2,2,4.08,20.8,-,01:36.6,01:14.1
2024_1,66,33,22,6,3,5,6,40.9,-,01:36.0,01:13.4
2024_1,67,34,20,7,3,2,6.05,50,-,01:32.7,01:14.7
2024_1,68,34,33,0,7,6,4.39,21.2,-,01:33.5,01:15.1
2024_1,69,34,24,2,6,5,5.29,33.3,-,01:35.7,01:14.6
2024_1,70,32,21,3,2,5,5.29,23.8,-,01:36.0,01:15.4
2024_1,71,34,22,4,4,1,5.18,36.4,-,01:36.2,01:15.5
2024_1,72,34,21,5,5,6,6.29,47.6,-,01:29.8,01:13.5
2024_1,73,34,21,9,2,2,6.71,52.4,-,01:35.1,01:13.1
2024_1,74,34,32,7,4,3,4.78,34.4,-,01:32.5,01:14.8
2024_1,75,33,24,8,3,8,6.83,45.8,-,01:34.7,01:13.8
2024_1,76,34,31,5,8,3,5.35,41.9,-,01:33.5,01:14.5
2024_1,77,29,23,0,4,3,3.57,17.4,-,01:36.5,01:14.2
2024_1,78,34,31,9,4,1,5.16,41.9,-,01:34.3,01:14.8
2024_1,79,34,24,8,4,4,6.79,50,-,01:32.8,01:13.2
2024_1,80,34,31,6,2,7,5,25.8,-,01:32.9,01:14.0
2024_1,81,34,18,2,5,2,4.83,38.9,-,-,01:14.9
2024_1,82,28,13,1,0,5,4.69,7.7,-,01:34.6,01:16.8
2024_1,83,34,28,6,3,5,5.39,32.1,-,01:31.1,01:13.4
2024_1,84,34,19,3,5,3,5.37,42.1,-,01:31.4,01:14.7
2024_1,85,34,31,2,7,8,5.1,29,-,01:35.5,01:14.6
2024_1,86,33,17,2,2,2,4.12,23.5,-,01:32.1,01:16.1
2024_1,87,34,20,5,6,4,6.8,55,-,01:31.5,01:14.2
2024_1,88,34,21,6,6,2,6.57,57.1,-,01:31.3,01:14.5
2024_1,89,34,29,5,5,3,5.07,34.5,-,01:37.0,01:13.8
2024_1,90,34,32,6,1,4,4.31,21.9,-,01:33.2,01:14.4
2024_1,91,34,13,3,4,2,6.69,53.8,-,01:35.1,01:14.0
2024_1,92,34,30,6,4,3,5.23,33.3,-,01:32.0,01:14.7
2024_1,93,34,26,4,2,5,4.19,23.1,-,01:32.5,01:14.6
2024_1,94,33,16,1,1,1,3.06,12.5,-,01:50.8,01:15.1
2024_1,95,32,23,5,6,5,6.26,47.8,-,01:32.4,01:13.8
2024_1,96,34,29,2,3,6,4.34,17.2,-,01:35.2,01:14.2
2024_1,97,34,32,3,5,3,4.16,25,-,01:34.8,01:14.5
2024_1,98,34,25,3,5,2,4.84,32,-,01:33.0,01:15.5
2024_1,99,32,28,7,2,4,5.21,32.1,-,01:32.3,01:14.1
2024_1,100,32,28,3,6,6,5,32.1,-,01:33.1,01:15.4
2024_1,101,34,31,6,5,6,5.52,35.5,-,01:33.8,01:14.7
2024_1,102,34,32,6,4,5,5.25,31.3,-,01:35.9,01:13.8
2024_1,103,34,22,10,4,2,7.41,63.6,-,01:37.1,01:13.6
2024_1,104,27,15,0,1,3,3.4,6.7,-,01:38.5,01:16.9
2024_1,105,34,16,2,3,3,4.75,31.3,-,01:35.9,01:13.6
2024_1,106,33,24,1,1,5,3.67,8.3,-,01:37.5,01:15.6
2024_1,107,34,23,2,5,5,4.65,30.4,-,01:33.0,01:16.1
2024_1,108,34,27,4,3,5,4.74,25.9,-,01:32.8,01:14.1
2024_1,109,34,35,5,7,4,4.94,34.3,-,01:35.5,01:14.7
2024_1,110,34,21,2,1,9,4.9,14.3,-,01:33.9,01:13.4
