연도,회차,일차,경주번호,번호,등급,기수,선수명,성별,나이,체중,최근6회차_평균착순점,최근6회차_평균득점,최근6회차_승률,최근6회차_연대율2,최근6회차_연대율3,최근6회차_평균ST,최근8경주_착순,연간성적_평균착순점,연간성적_연대율,FL,평균사고점,금일출주경주,전일성적,출주횟수,코스_1코스,코스_2코스,코스_3코스,코스_4코스,코스_5코스,코스_6코스,모터번호,모터_평균착순점,모터_연대율2,모터_연대율3,전탑승선수1,전탑승선수2,보트번호,보트_평균착순점,보트_연대율,특이사항
2020,1,1,1,1,B2,16,손유정,여,29,52,0,0,0,0,0,0,,0,0,F0L0,0,,,0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,113,4.41,21.8,40,김태용/126,원용관/655,081,4.88,32.1,
2020,1,1,1,2,B2,16,오상현,남,31,58,0,0,0,0,0,0,,0,0,F0L0,0,,,0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,110,5.13,33,50,정경호/6315,신동길/35,104,5.05,31.6,
2020,1,1,1,3,B2,16,김보경,여,26,50,0,0,0,0,0,0,,0,0,F0L0,0,,,0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,083,6.25,46.7,66.4,김태규/321,최진혁/5165,091,5.04,30.1,
2020,1,1,1,4,B2,16,임지훈,남,26,57,0,0,0,0,0,0,,0,0,F0L0,0,,,0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,031,5.58,39.7,53.6,권혁민/456,김정구/25,092,5.46,37,
2020,1,1,1,5,B2,16,이수빈,여,26,52,0,0,0,0,0,0,,0,0,F0L0,0,,,0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,006,4.53,26.7,43,한  진/262,이종인/532,075,5.42,38.6,
2020,1,1,1,6,B2,16,홍진수,남,27,55,0,0,0,0,0,0,,0,0,F0L0,0,,,0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,00.0/0,141,4.97,29.9,51.3,이지은/554,강영길/36,055,5.15,32.8,
2020,1,1,2,1,A1,7,심상철,남,38,56,7.89,6.94,66.7,72.2,77.8,0.17,1231 0111,0,0,F0L0,0,13,,28,80.0/10,100.0/2,75.0/4,57.1/7,100.0/3,0.0/2,028,4.89,29.1,46.3,김현철/2123,오세준/146,007,5.88,37.7,
2020,1,1,2,2,A2,2,최재원,남,52,59,5.13,5.13,20,40,46.7,0.26,4512 2534,0,0,F0L0,0,11,,28,83.3/6,100.0/4,50.0/4,40.0/5,40.0/5,25.0/4,061,5.58,38.1,58.3,박정아/3562,김지현/343,089,5.3,34.6,
2020,1,1,2,3,B2,15,박민영,여,24,41,3.22,3,5.6,11.1,16.7,0.29,2655 4555,0,0,F0L0,0,,,25,0.0/3,75.0/4,0.0/4,0.0/5,0.0/4,0.0/5,153,4.92,31.5,47.8,양원준/614,정훈민/523,002,5.59,38.3,
2020,1,1,2,4,B1,1,오세준,남,45,62,4.65,4.53,11.8,23.5,35.3,0.18,6414 6332,0,0,F0L0,0,10,,31,83.3/6,33.3/6,20.0/5,25.0/4,20.0/5,0.0/5,054,5.19,32.5,52.4,조규태/453,기광서/211,009,4.97,29.2,
2020,1,1,2,5,B1,2,김기한,남,47,53,4.44,4.44,6.3,31.3,31.3,0.28,6465 4226,0,0,F0L0,0,12,,26,50.0/4,50.0/2,0.0/4,40.0/5,28.6/7,25.0/4,091,4.93,31.1,44.6,나병창/133,송효석/112,060,5.47,38.5,
2020,1,1,2,6,A1,12,한성근,남,33,57,6.6,6.4,13.3,53.3,66.7,0.21,5442 2523,0,0,F0L0,0,09,,28,100.0/4,83.3/6,40.0/5,100.0/4,25.0/4,40.0/5,158,5.77,39.5,58.1,박상현/543,김승택/511,023,5.6,38.4,
2020,1,1,3,1,B1,2,김정구,남,48,55,5.47,5.41,5.9,47.1,58.8,0.24,2532 5525,0,0,F0L0,0,11,,20,75.0/4,50.0/2,50.0/2,50.0/4,0.0/4,25.0/4,068,5.6,40,56.6,이용세/23,서  휘/4423,105,5.51,34.7,
2020,1,1,3,2,B1,5,김희용,남,40,57,4.44,4.39,16.7,22.2,38.9,0.28,1162 6536,0,0,F0L0,0,13,,32,80.0/5,33.3/6,50.0/6,14.3/7,25.0/4,0.0/4,047,4.9,29.1,52,김지현/3265,박상현/412,067,5.49,35.4,
2020,1,1,3,3,A2,5,박종덕,남,42,54,6.44,6.33,16.7,38.9,66.7,0.15,1422 3332,0,0,F0L0,0,,,40,66.7/6,37.5/8,28.6/7,14.3/7,12.5/8,75.0/4,039,6.19,44.9,60.9,구남우/64,이지수/25,052,5.64,31.8,
2020,1,1,3,4,A2,2,최광성,남,46,57,6.44,6.19,31.3,50,62.5,0.2,1456 4321,0,0,F0L0,0,15,,37,66.7/6,85.7/7,42.9/7,75.0/4,40.0/5,0.0/8,004,6.62,51.2,65.9,기광서/11,김현덕/1114,049,5.22,34.1,
2020,1,1,3,5,A1,1,이태희,남,49,56,8,7.95,36.8,63.2,94.7,0.26,1123 1121,0,0,F0L0,0,12,,37,100.0/7,57.1/7,66.7/6,50.0/4,40.0/5,37.5/8,033,5.01,29.4,47.6,정민수/453,이주영/453,093,5.12,31.3,
2020,1,1,3,6,A2,11,김선웅,남,36,64,6.56,6.5,33.3,50,66.7,0.18,1532 5153,0,0,F0L0,0,10,,30,60.0/5,80.0/5,0.0/5,50.0/4,60.0/5,16.7/6,121,4.51,28.6,41.6,김동민/562,정세혁/556,059,5.32,36.8,
2020,1,1,4,1,B1,4,박상현,남,41,59,3.82,3.76,5.9,17.6,23.5,0.18,5434 1264,0,0,F0L0,0,12,,34,33.3/3,28.6/7,71.4/7,33.3/6,60.0/5,0.0/6,129,6.71,51.9,69.8,강영길/6222,이지은/56,037,5.32,34.9,
2020,1,1,4,2,A2,2,손근성,남,48,55,5.69,5.69,18.8,37.5,62.5,0.24,5316 2235,0,0,F0L0,0,,,23,75.0/4,33.3/3,25.0/4,50.0/4,50.0/4,0.0/4,111,4.76,31.1,44,김민준/211,김완석/554,100,5.22,32.9,
2020,1,1,4,3,A2,6,손제민,남,38,61,5.53,5.37,21.1,36.8,52.6,0.25,1536 1422,0,0,F0L0,0,11,,31,75.0/4,80.0/5,33.3/6,50.0/6,0.0/4,50.0/6,046,5.66,36.5,59.6,한종석/231,한성근/544,079,5.51,38.4,
2020,1,1,4,4,A1,12,조성인,남,32,57,7.47,6.59,47.1,58.8,76.5,0.13,0121 1135,0,0,F0L0,0,13,,27,66.7/3,71.4/7,66.7/3,100.0/4,50.0/6,25.0/4,063,5.17,31.1,50.5,김계영/63,이경섭/441,016,5.43,35.7,F 후 출전
2020,1,1,4,5,B1,1,김명진,남,51,58,4.43,4.43,7.1,21.4,35.7,0.31,6445 4126,0,0,F0L0,0,14,,28,100.0/4,33.3/6,25.0/4,0.0/3,0.0/6,0.0/5,155,5.92,42.3,58.4,양원준/645,구본선/455,039,4.82,31.1,
2020,1,1,4,6,A2,6,안지민,여,35,52,5.45,5.3,15,35,50,0.25,2564 2411,0,0,F0L0,0,,,41,71.4/7,80.0/5,30.0/10,14.3/7,0.0/6,16.7/6,151,5.51,34,55.8,강지환/55,김선웅/153,110,4.95,32.6,
2020,1,1,5,1,B1,9,홍기철,남,38,66,5.33,5.33,22.2,33.3,55.6,0.25,6333 1136,0,0,F0L0,0,12,,23,75.0/4,50.0/4,20.0/5,25.0/4,25.0/4,0.0/2,104,5.02,29.8,47.5,심상철/1231,윤영근/46,033,5.2,34.9,
2020,1,1,5,2,A2,1,장영태,남,45,58,6.84,6.74,31.6,42.1,73.7,0.22,4334 4121,0,0,F0L0,0,14,,34,75.0/8,66.7/6,33.3/6,50.0/6,50.0/4,0.0/4,013,4.62,25.7,41.5,이동준/33,김도휘/512,014,5.31,36.2,
2020,1,1,5,3,B2,2,한  운,남,47,55,6.24,5.94,11.8,41.2,70.6,0.31,5322 2234,0,0,F0L0,0,,,21,40.0/5,33.3/3,33.3/3,25.0/4,0.0/2,25.0/4,139,5.68,44.1,55.3,김성찬/462,반혜진/241,010,4.93,29.4,
2020,1,1,5,4,B2,14,서종원,남,31,58,3.67,3.53,0,6.7,33.3,0.23,6324 3444,0,0,F0L0,0,,,26,20.0/5,16.7/6,25.0/4,0.0/3,0.0/4,0.0/4,059,5.19,34.2,52.2,원용관/3223,김종민/2315,087,5.4,37.4,
2020,1,1,5,5,A2,1,우진수,남,44,55,5.44,5.44,25,31.3,43.8,0.2,3412 3466,0,0,F0L0,0,,,31,71.4/7,25.0/4,50.0/6,33.3/6,25.0/4,0.0/4,027,4.47,25.9,38.1,문주엽/02,구남우/45,038,5.14,34.5,
2020,1,1,5,6,A2,2,이용세,남,48,56,5.06,5,6.3,31.3,43.8,0.21,2336 4544,0,0,F0L0,0,13,,32,80.0/5,66.7/6,25.0/4,40.0/5,40.0/5,14.3/7,002,5.94,46.9,65.6,김승택/260,김민준/6122,088,4.89,30.9,
2020,1,1,6,1,A1,1,곽현성,남,48,55,7,6.79,36.8,57.9,68.4,0.21,1421 2351,0,0,F0L0,0,,,33,71.4/7,80.0/5,80.0/5,33.3/6,20.0/5,40.0/5,009,5.66,37.4,58.3,곽현성/14,김강현/64,020,5.27,34.4,
2020,1,1,6,2,A2,10,임태경,여,32,49,6.44,6.19,31.3,62.5,68.8,0.22,2112 2150,0,0,F0L0,0,14,,15,100.0/3,50.0/4,100.0/2,0.0/2,33.3/3,0.0/1,055,5.91,39.4,59.4,반혜진/42,김민천/1532,071,5.74,40.7,
2020,1,1,6,3,A2,7,정경호,남,40,55,6.65,6.65,35.3,52.9,64.7,0.2,6315 4631,0,0,F0L0,0,13,,31,100.0/6,25.0/4,42.9/7,14.3/7,50.0/4,0.0/3,076,5.5,36.8,54.9,이지수/441,김효년/125,048,5.49,41,
2020,1,1,6,4,A1,1,나병창,남,45,57,7.53,7.47,20,66.7,93.3,0.35,1335 2232,0,0,F0L0,0,16,,32,80.0/5,100.0/4,60.0/5,50.0/4,83.3/6,25.0/8,036,4.39,22.8,39.3,우진수/341,이시원/4624,017,4.92,34.2,
2020,1,1,6,5,B1,4,신동길,남,42,57,3.8,3.73,0,6.7,40,0.24,3554 3365,0,0,F0L0,0,,,28,33.3/6,0.0/7,33.3/3,25.0/4,25.0/4,0.0/4,060,5,33.3,51.1,권현기/6655,박설희/322,058,5.27,34.9,
2020,1,1,6,6,B1,5,이승일,남,41,61,4.75,3.69,12.5,25,50,0.24,6231 6543,0,0,F0L0,0,,,22,50.0/4,50.0/4,33.3/3,0.0/3,20.0/5,0.0/3,088,5.02,26.9,46.6,김재윤/545,김지현/1241,062,5.15,29.9,
