Year,Motor_No,출전회차,출주회수,1착,2착,3착,평균착순점,연대율,3주회,2주회(온라인),2주회(플라잉)
2020,1,44,4,2,1,0,7.5,75,-,1:31.559,1:17.563
2020,2,43,2,0,0,0,1.5,0,-,1:36.295,-
2020,3,43,2,1,0,0,5.5,50,-,1:32.482,-
2020,5,43,2,0,1,1,7,50,-,1:34.083,-
2020,7,44,4,1,1,1,7,50,-,1:31.193,1:17.427
2020,8,44,2,0,0,0,1.5,0,-,1:38.561,1:20.196
2020,12,44,5,0,0,1,3.8,0,-,1:34.324,1:37.795
2020,14,42,2,0,0,0,3,0,-,1:35.987,-
2020,15,44,5,0,1,0,2.4,20,-,1:32.518,1:20.332
2020,16,44,3,0,0,1,3.33,0,-,1:35.392,1:19.416
2020,17,42,2,0,0,2,6,0,-,1:33.784,-
2020,18,44,4,0,3,0,7,75,-,1:32.441,1:15.021
2020,19,44,5,1,1,2,6.8,40,-,1:31.771,-
2020,20,43,2,1,0,0,7,50,-,1:31.787,-
2020,21,44,2,1,0,0,6,50,-,1:32.849,-
2020,24,42,2,0,0,0,3,0,-,1:34.447,-
2020,25,43,2,0,0,0,3,0,-,1:34.245,-
2020,26,43,2,0,0,1,4,0,-,1:34.656,-
2020,27,43,2,0,1,0,5,50,-,1:32.638,-
2020,28,43,4,0,0,1,3,0,-,1:34.019,-
2020,29,43,2,0,0,0,2.5,0,-,1:36.109,-
2020,30,44,5,3,1,1,8.8,80,-,1:31.141,1:15.467
2020,31,44,4,1,0,0,4.5,25,-,1:33.666,-
2020,33,42,2,1,0,0,6,50,-,1:33.205,-
2020,34,43,2,1,0,0,6,50,-,1:31.617,-
2020,35,43,2,0,1,0,6,50,-,1:33.340,-
2020,36,43,2,1,0,1,8,50,-,1:33.795,-
2020,38,42,2,0,0,1,4,0,-,1:34.709,-
2020,40,44,2,1,1,0,9,100,-,1:32.514,-
2020,42,44,4,1,2,0,7.5,75,-,1:32.348,1:16.488
2020,44,42,2,0,0,0,1.5,0,-,1:36.202,-
2020,45,43,2,0,1,0,4.5,50,-,1:32.637,-
2020,46,43,3,0,0,2,4.33,0,-,1:34.194,-
2020,47,44,4,0,1,1,4.5,25,-,1:32.741,-
2020,48,44,2,0,0,1,5,0,-,1:36.996,1:19.698
2020,49,44,5,0,0,0,3.6,0,-,1:35.211,1:18.359
2020,51,44,4,3,0,0,8.5,75,-,1:31.382,1:15.099
2020,52,43,2,0,0,1,3,0,-,1:34.606,-
2020,53,44,5,1,1,2,6.8,40,-,1:32.651,1:17.254
2020,54,44,3,0,1,1,5,33.3,-,1:33.566,1:19.509
2020,56,43,2,0,1,0,5,50,-,1:32.965,-
2020,59,44,5,0,2,1,5.6,40,-,1:35.216,1:32.221
2020,60,44,2,0,0,0,2.5,0,-,1:36.316,-
2020,61,44,3,2,0,0,7.33,66.7,-,1:33.371,1:14.492
2020,62,44,3,1,0,2,7.33,33.3,-,1:34.603,1:14.620
2020,64,43,2,1,0,0,6,50,-,1:32.331,-
2020,65,44,5,1,1,2,6.2,40,-,1:32.777,1:16.635
2020,66,44,5,4,0,1,9.2,80,-,1:31.755,1:27.196
2020,68,42,2,1,1,0,9,100,-,1:31.805,-
2020,70,44,3,0,0,0,1.67,0,-,1:37.359,1:40.535
2020,71,43,2,2,0,0,10,100,-,1:30.518,-
2020,74,43,2,0,2,0,8,100,-,1:33.490,-
2020,75,43,2,0,1,1,7,50,-,1:33.254,-
2020,76,43,2,0,1,0,6,50,-,1:34.440,-
2020,77,43,2,1,1,0,9,100,-,1:31.463,-
2020,78,43,2,2,0,0,10,100,-,1:30.874,-
2020,79,43,2,2,0,0,10,100,-,1:31.104,-
2020,80,42,2,1,1,0,9,100,-,1:30.657,-
2020,82,44,4,0,0,0,3.25,0,-,1:34.518,-
2020,84,44,4,0,2,0,5.25,50,-,1:33.061,-
2020,85,43,2,0,1,0,5,50,-,1:32.086,-
2020,86,43,2,1,0,1,8,50,-,1:30.515,-
2020,87,43,3,0,0,0,1.33,0,-,1:34.559,-
2020,88,44,3,0,1,0,5.33,33.3,-,1:34.538,1:17.411
2020,89,44,2,0,2,0,8,100,-,1:34.037,1:15.509
2020,90,44,4,0,0,0,2,0,-,1:34.446,-
2020,91,42,2,0,0,0,1.5,0,-,1:35.285,-
2020,92,44,3,1,2,0,8.67,100,-,1:32.106,1:13.762
2020,93,43,2,0,0,0,1.5,0,-,1:36.888,-
2020,94,43,2,0,0,0,1.5,0,-,1:36.891,-
2020,95,44,4,0,0,1,2.5,0,-,1:33.861,-
2020,96,43,2,0,0,1,5,0,-,1:35.211,-
2020,97,42,2,2,0,0,10,100,-,1:30.954,-
2020,98,42,2,0,1,0,5,50,-,1:33.038,-
2020,101,43,2,0,0,1,5,0,-,1:34.172,-
2020,102,44,5,0,1,3,5.4,20,-,1:32.628,1:34.467
2020,103,44,2,0,0,0,2,0,-,1:37.637,-
2020,104,44,5,0,0,1,2.8,0,-,1:35.281,1:18.141
2020,105,42,2,0,0,1,3.5,0,-,1:34.964,-
2020,106,44,4,1,1,1,7,50,-,1:32.288,-
2020,110,43,2,0,0,0,4,0,-,1:35.225,-
2020,112,43,4,0,0,0,1.25,0,-,1:36.837,-
2020,113,43,2,0,0,1,5,0,-,1:34.449,-
2020,114,43,2,0,0,1,4,0,-,1:36.949,-
2020,115,44,4,1,0,1,5,25,-,1:30.013,1:19.424
2020,116,43,2,0,0,0,3,0,-,1:34.505,-
2020,117,43,2,1,1,0,9,100,-,1:30.495,-
2020,118,43,2,0,0,0,1.5,0,-,1:36.927,-
2020,120,42,2,0,2,0,8,100,-,1:32.859,-
2020,121,44,4,0,0,0,1.25,0,-,1:36.939,1:21.166
2020,124,43,2,1,0,0,7,50,-,1:31.948,-
2020,125,44,3,1,0,1,6,33.3,-,1:31.133,1:18.003
2020,127,43,2,0,0,0,2.5,0,-,1:34.353,-
2020,129,43,2,0,0,1,4,0,-,1:33.199,-
2020,130,43,4,0,0,0,1.25,0,-,1:36.247,-
2020,131,44,3,1,2,0,8.67,100,-,1:33.176,1:15.683
2020,132,44,2,0,1,0,4.5,50,-,1:34.291,-
2020,134,43,2,0,1,0,6,50,-,1:32.940,-
2020,136,44,4,0,0,3,5.5,0,-,1:33.083,-
2020,137,44,5,0,0,1,2.6,0,-,1:36.861,1:17.018
2020,138,43,2,0,1,1,7,50,-,1:33.546,-
2020,140,43,4,1,0,0,3,25,-,1:31.463,-
2020,141,43,2,0,1,1,7,50,-,1:33.185,-
2020,142,44,5,1,0,0,5.2,20,-,1:31.962,1:17.991
2020,143,43,2,0,1,1,7,50,-,1:32.162,-
2020,144,42,2,0,1,1,7,50,-,1:33.330,-
2020,147,44,2,0,0,0,3,0,-,1:36.856,-
2020,148,44,3,2,0,0,6.67,66.7,-,1:31.784,-
2020,149,44,3,0,1,1,5.33,33.3,-,1:35.757,1:16.147
2020,150,43,2,0,0,0,3,0,-,1:36.280,-
