연도,회차,일차,경주,1위,2위,3위,단승식,연승식,쌍승식,복승식,삼복승식,쌍복승,삼쌍승,Refund
2021,48,2,01R,① 배혜민,⑤ 이경섭,④ 사재준,(1) 1.3,,(1-5) 6.4,(1-5) 5.7,(1-5-4) 5.8,(1-5-4) 7.3,(1-5-4) 23.2,
2021,48,2,02R,① 길현태,② 박준현,③ 이수빈,(1) 4.3,,(1-2) 15.0,(1-2) 8.6,(1-2-3) 47.3,(1-2-3) 122.3,(1-2-3) 192.3,
2021,48,2,03R,① 손지영,⑥ 양원준,② 김국흠,(1) 3.6,,(1-6) 18.1,(1-6) 13.9,(1-6-2) 4.3,(1-6-2) 14.2,(1-6-2) 54.5,
2021,48,2,04R,③ 김완석,⑤ 전두식,④ 서종원,(3) 1.3,,(3-5) 3.4,(3-5) 3.4,(3-5-4) 9.3,(3-5-4) 9.6,(3-5-4) 22.6,
2021,48,2,05R,② 박원규,⑤ 김지훈,③ 권현기,(2) 1.8,,(2-5) 5.7,(2-5) 4.3,(2-5-3) 31.1,(2-5-3) 40.5,(2-5-3) 78.5,
2021,48,2,06R,③ 윤영근,① 안지민,④ 이태희,(3) 3.9,,(3-1) 8.2,(3-1) 2.4,(3-1-4) 3.1,(3-1-4) 10.2,(3-1-4) 17.8,
2021,48,2,07R,② 조규태,③ 김도휘,④ 배혜민,(2) 1.9,,(2-3) 3.7,(2-3) 2.5,(2-3-4) 1.7,(2-3-4) 3.0,(2-3-4) 5.9,
2021,48,2,08R,① 조성인,⑤ 윤동오,② 홍진수,(1) 1.3,,(1-5) 3.1,(1-5) 2.9,(1-5-2) 2.6,(1-5-2) 3.0,(1-5-2) 7.1,
2021,48,2,09R,④ 조현귀,② 이종인,① 정용진,(4) 5.9,,(4-2) 30.1,(4-2) 7.1,(4-2-1) 3.4,(4-2-1) 26.7,(4-2-1) 63.8,
2021,48,2,10R,① 엄광호,② 정경호,③ 길현태,(1) 3.9,,(1-2) 6.7,(1-2) 2.3,(1-2-3) 4.3,(1-2-3) 14.6,(1-2-3) 18.7,
2021,48,2,11R,② 김태용,④ 박종덕,③ 구본선,(2) 1.9,,(2-4) 3.7,(2-4) 1.9,(2-4-3) 5.0,(2-4-3) 8.6,(2-4-3) 13.9,
2021,48,2,12R,① 장영태,③ 한 진,④ 전두식,(1) 1.8,,(1-3) 2.8,(1-3) 1.6,(1-3-4) 2.1,(1-3-4) 3.5,(1-3-4) 5.4,
2021,48,2,13R,④ 김민길,⑤ 김선웅,① 박정아,(4) 8.9,,(4-5) 24.2,(4-5) 13.6,(4-5-1) 2.7,(4-5-1) 14.6,(4-5-1) 42.0,
2021,48,2,14R,① 오세준,② 오상현,④ 윤영근,(1) 1.4,,(1-2) 15.1,(1-2) 10.3,(1-2-4) 5.4,(1-2-4) 8.8,(1-2-4) 30.7,
2021,48,2,15R,① 한성근,⑤ 김현철,③ 안지민,(1) 1.3,,(1-5) 7.3,(1-5) 5.9,(1-5-3) 3.6,(1-5-3) 4.7,(1-5-3) 15.0,
2021,48,1,01R,② 윤영근,① 김승택,④ 구본선,(2) 1.2,,(2-1) 4.6,(2-1) 2.9,(2-1-4) 3.2,(2-1-4) 5.4,(2-1-4) 9.8,
2021,48,1,02R,① 박종덕,② 장영태,④ 김선웅,(1) 1.3,,(1-2) 4.7,(1-2) 3.1,(1-2-4) 4.4,(1-2-4) 6.7,(1-2-4) 10.5,
2021,48,1,03R,⑥ 엄광호,③ 김보경,② 김태영,(6) 9.0,,(6-3) 16.8,(6-3) 7.5,(6-3-2) 4.6,(6-3-2) 18.2,(6-3-2) 55.9,①
2021,48,1,04R,① 이지은,③ 김지영,⑤ 이태희,(1) 2.4,,(1-3) 16.9,(1-3) 10.7,(1-3-5) 3.9,(1-3-5) 9.0,(1-3-5) 25.4,
2021,48,1,05R,① 원용관,⑥ 안지민,③ 박상현,(1) 1.1,,(1-6) 2.1,(1-6) 1.5,(1-6-3) 1.6,(1-6-3) 2.2,(1-6-3) 4.0,⑤
2021,48,1,06R,① 김민길,② 강지환,⑤ 정용진,(1) 1.8,,(1-2) 4.9,(1-2) 3.4,(1-2-5) 1.9,(1-2-5) 3.6,(1-2-5) 6.8,
2021,48,1,07R,④ 박원규,③ 김국흠,② 사재준,(4) 6.2,,(4-3) 16.8,(4-3) 6.0,(4-3-2) 6.4,(4-3-2) 25.0,(4-3-2) 42.8,
2021,48,1,08R,③ 박정아,④ 박준현,⑤ 박종덕,(3) 1.3,,(3-4) 2.2,(3-4) 1.6,(3-4-5) 1.9,(3-4-5) 2.3,(3-4-5) 3.5,⑥
2021,48,1,09R,① 김완석,③ 이경섭,② 김현철,(1) 1.1,,(1-3) 4.8,(1-3) 4.4,(1-3-2) 2.6,(1-3-2) 3.1,(1-3-2) 9.2,
2021,48,1,10R,③ 한성근,⑤ 장영태,② 서화모,(3) 2.1,,(3-5) 6.6,(3-5) 5.5,(3-5-2) 2.4,(3-5-2) 4.8,(3-5-2) 14.7,
2021,48,1,11R,① 이택근,④ 한 진,③ 최광성,(1) 1.7,,(1-4) 7.6,(1-4) 4.4,(1-4-3) 3.4,(1-4-3) 6.2,(1-4-3) 22.5,
2021,48,1,12R,③ 윤동오,⑥ 조현귀,④ 김지영,(3) 1.3,,(3-6) 9.5,(3-6) 7.7,(3-6-4) 17.9,(3-6-4) 21.5,(3-6-4) 49.9,
2021,48,1,13R,① 김지훈,⑥ 조성인,④ 김태용,(1) 2.7,,(1-6) 5.7,(1-6) 3.1,(1-6-4) 32.5,(1-6-4) 57.2,(1-6-4) 71.1,
2021,48,1,14R,③ 양원준,⑤ 정경호,④ 박상현,(3) 1.9,,(3-5) 4.9,(3-5) 4.1,(3-5-4) 13.9,(3-5-4) 17.1,(3-5-4) 29.0,
2021,48,1,15R,⑤ 홍진수,④ 박정아,② 류석현,(5) 65.3,,(5-4) 138.4,(5-4) 15.1,(5-4-2) 2.3,(5-4-2) 142.2,(5-4-2) 258.5,
2021,47,2,01R,② 권명호,③ 김태규,④ 이진우,(2) 1.1,,(2-3) 1.8,(2-3) 1.5,(2-3-4) 2.4,(2-3-4) 3.1,(2-3-4) 4.7,
2021,47,2,02R,② 민영건,① 송효범,④ 김동경,(2) 1.3,,(2-1) 5.4,(2-1) 3.1,(2-1-4) 4.4,(2-1-4) 7.4,(2-1-4) 14.2,
2021,47,2,03R,② 양원준,④ 김선웅,⑥ 오세준,(2) 1.4,,(2-4) 2.6,(2-4) 1.6,(2-4-6) 7.1,(2-4-6) 12.1,(2-4-6) 14.0,
2021,47,2,04R,④ 정경호,⑤ 황이태,① 홍기철,(4) 1.9,,(4-5) 3.2,(4-5) 2.4,(4-5-1) 1.7,(4-5-1) 2.6,(4-5-1) 5.4,
2021,47,2,05R,① 구현구,② 안지민,④ 한 운,(1) 2.3,,(1-2) 3.0,(1-2) 1.7,(1-2-4) 4.8,(1-2-4) 7.7,(1-2-4) 9.2,
2021,47,2,06R,④ 기광서,③ 홍진수,① 김강현,(4) 2.7,,(4-3) 23.9,(4-3) 13.3,(4-3-1) 5.4,(4-3-1) 16.2,(4-3-1) 87.8,
2021,47,2,07R,② 김태규,③ 김태영,⑤ 박민영,(2) 1.0,,(2-3) 1.6,(2-3) 1.2,(2-3-5) 3.0,(2-3-5) 3.6,(2-3-5) 4.5,①
2021,47,2,08R,① 이휘동,③ 권명호,② 손유정,(1) 1.3,,(1-3) 1.9,(1-3) 1.3,(1-3-2) 4.4,(1-3-2) 6.2,(1-3-2) 9.1,
2021,47,2,09R,① 전두식,③ 박민성,⑤ 오세준,(1) 1.4,,(1-3) 30.8,(1-3) 25.8,(1-3-5) 38.7,(1-3-5) 83.5,(1-3-5) 165.5,
